Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),cummingtonite,    grunerite,    tremolite
309,792.00,2.000,-3.262,10.7564,2.9220,58.9941,0.0000,0.0000,0.0000,0.0000,1.0483,0.0000,24.5642,0.0000,0.0000,13.1823,0.0000,0.0000,0.0000,2.2110,0.0000,0.0000,0.0000,0.0000,-175.271,-151.939,21.905,3.681,13.320,0.025381,0.016983,0.957636
310,791.00,2.000,-3.322,10.9629,2.9223,58.9897,0.0000,0.0000,0.0000,0.0000,1.0617,0.0000,24.5511,0.0000,0.0000,13.1866,0.0000,0.0000,0.0000,2.2109,0.0000,0.0000,0.0000,0.0000,-178.596,-154.852,22.312,3.752,13.573,0.024779,0.017202,0.958019
311,790.00,2.000,-3.383,11.1642,2.9225,58.9853,0.0000,0.0000,0.0000,0.0000,1.0754,0.0000,24.5378,0.0000,0.0000,13.1908,0.0000,0.0000,0.0000,2.2107,0.0000,0.0000,0.0000,0.0000,-181.834,-157.691,22.708,3.820,13.820,0.024182,0.017424,0.958394
312,789.00,2.000,-3.444,11.3604,2.9228,58.9809,0.0000,0.0000,0.0000,0.0000,1.0892,0.0000,24.5245,0.0000,0.0000,13.1948,0.0000,0.0000,0.0000,2.2105,0.0000,0.0000,0.0000,0.0000,-184.987,-160.458,23.094,3.887,14.060,0.023590,0.017650,0.958759
313,788.00,2.000,-3.505,11.5515,2.9230,58.9764,0.0000,0.0000,0.0000,0.0000,1.1033,0.0000,24.5112,0.0000,0.0000,13.1987,0.0000,0.0000,0.0000,2.2104,0.0000,0.0000,0.0000,0.0000,-188.056,-163.152,23.468,3.952,14.294,0.023003,0.017880,0.959117
314,787.00,2.000,-3.567,11.7377,2.9233,58.9719,0.0000,0.0000,0.0000,0.0000,1.1176,0.0000,24.4978,0.0000,0.0000,13.2025,0.0000,0.0000,0.0000,2.2102,0.0000,0.0000,0.0000,0.0000,-191.042,-165.776,23.832,4.015,14.521,0.022420,0.018113,0.959467
315,786.00,2.000,-3.629,11.9189,2.9236,58.9673,0.0000,0.0000,0.0000,0.0000,1.1321,0.0000,24.4843,0.0000,0.0000,13.2062,0.0000,0.0000,0.0000,2.2100,0.0000,0.0000,0.0000,0.0000,-193.946,-168.330,24.186,4.077,14.743,0.021841,0.018350,0.959809
316,785.00,2.000,-3.691,12.0953,2.9239,58.9627,0.0000,0.0000,0.0000,0.0000,1.1468,0.0000,24.4708,0.0000,0.0000,13.2098,0.0000,0.0000,0.0000,2.2099,0.0000,0.0000,0.0000,0.0000,-196.771,-170.816,24.529,4.137,14.958,0.021266,0.018589,0.960145
317,784.00,2.000,-3.753,12.2671,2.9241,58.9581,0.0000,0.0000,0.0000,0.0000,1.1616,0.0000,24.4573,0.0000,0.0000,13.2133,0.0000,0.0000,0.0000,2.2097,0.0000,0.0000,0.0000,0.0000,-199.518,-173.235,24.862,4.195,15.167,0.020696,0.018831,0.960474
318,783.00,2.000,-3.815,12.4342,2.9244,58.9535,0.0000,0.0000,0.0000,0.0000,1.1766,0.0000,24.4437,0.0000,0.0000,13.2167,0.0000,0.0000,0.0000,2.2095,0.0000,0.0000,0.0000,0.0000,-202.189,-175.589,25.186,4.252,15.371,0.020129,0.019075,0.960796
