Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
90,1055.50,2.000,-10.598,0.0071,3.4559,33.0888,11.4524,16.0071,3.4537,0.0000,4.1791,0.0000,8.7478,0.0000,0.0000,22.9119,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.110,-0.090,0.015,0.002,0.008,0.071271,0.049076,0.133702,0.634722,0.024226,0.075198,0.011804
91,1055.00,2.000,-10.612,0.1191,3.4552,33.1604,11.3997,15.9585,3.4588,0.0000,4.1903,0.0000,8.7633,0.0000,0.0000,22.9090,0.1598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.847,-1.504,0.258,0.034,0.134,0.073351,0.049229,0.134049,0.631955,0.023903,0.075661,0.011853
92,1054.50,2.000,-10.626,0.2311,3.4545,33.2345,11.3453,15.9083,3.4641,0.0000,4.2017,0.0000,8.7795,0.0000,0.0000,22.9060,0.1605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.584,-2.919,0.501,0.067,0.260,0.075504,0.049389,0.134401,0.629097,0.023567,0.076139,0.011904
93,1054.00,2.000,-10.639,0.3431,3.4537,33.3113,11.2889,15.8565,3.4695,0.0000,4.2133,0.0000,8.7965,0.0000,0.0000,22.9029,0.1612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.321,-4.334,0.744,0.099,0.386,0.077735,0.049558,0.134758,0.626143,0.023216,0.076634,0.011955
94,1053.50,2.000,-10.653,0.4553,3.4529,33.3908,11.2306,15.8028,3.4749,0.0000,4.2251,0.0000,8.8142,0.0000,0.0000,22.8996,0.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.059,-5.750,0.986,0.132,0.513,0.080050,0.049736,0.135123,0.623085,0.022850,0.077147,0.012009
95,1053.00,2.000,-10.667,0.5675,3.4520,33.4734,11.1700,15.7473,3.4805,0.0000,4.2372,0.0000,8.8328,0.0000,0.0000,22.8961,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.799,-7.168,1.230,0.164,0.639,0.082456,0.049924,0.135494,0.619917,0.022466,0.077679,0.012064
96,1052.50,2.000,-10.681,0.6800,3.4512,33.5593,11.1072,15.6896,3.4861,0.0000,4.2495,0.0000,8.8523,0.0000,0.0000,22.8925,0.1635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.542,-8.589,1.473,0.197,0.766,0.084958,0.050122,0.135873,0.616630,0.022064,0.078232,0.012120
97,1052.00,2.000,-10.694,0.7928,3.4502,33.6487,11.0417,15.6298,3.4918,0.0000,4.2621,0.0000,8.8728,0.0000,0.0000,22.8887,0.1643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.289,-10.013,1.718,0.230,0.893,0.087566,0.050332,0.136261,0.613213,0.021642,0.078807,0.012178
98,1051.50,2.000,-10.708,0.9060,3.4493,33.7419,10.9736,15.5675,3.4977,0.0000,4.2751,0.0000,8.8944,0.0000,0.0000,22.8847,0.1651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.042,-11.442,1.963,0.263,1.021,0.090287,0.050556,0.136657,0.609657,0.021198,0.079406,0.012238
99,1051.00,2.000,-10.722,1.0196,3.4483,33.8394,10.9024,15.5025,3.5036,0.0000,4.2884,0.0000,8.9173,0.0000,0.0000,22.8805,0.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.802,-12.877,2.209,0.296,1.149,0.093133,0.050793,0.137063,0.605949,0.020729,0.080032,0.012301
100,1050.50,2.000,-10.736,1.1338,3.4472,33.9415,10.8279,15.4347,3.5096,0.0000,4.3020,0.0000,8.9414,0.0000,0.0000,22.8760,0.1669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.571,-14.319,2.457,0.329,1.278,0.096114,0.051047,0.137480,0.602075,0.020233,0.080686,0.012365
