Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
113,1044.00,2.000,-10.964,0.0457,2.6994,46.5171,0.0000,34.4039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5295,1.5203,0.0292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.776,-0.638,0.105,0.017,0.055,0.135421,0.862868,0.001711
114,1043.50,2.000,-10.985,0.1108,2.6993,46.5262,0.0000,34.3978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5223,1.5244,0.0293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.880,-1.546,0.254,0.041,0.134,0.135787,0.862499,0.001714
115,1043.00,2.000,-11.006,0.1759,2.6993,46.5352,0.0000,34.3917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5152,1.5286,0.0293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.984,-2.453,0.403,0.065,0.213,0.136153,0.862129,0.001718
116,1042.50,2.000,-11.026,0.2409,2.6993,46.5443,0.0000,34.3856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5080,1.5327,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.087,-3.361,0.552,0.089,0.292,0.136521,0.861758,0.001721
117,1042.00,2.000,-11.047,0.3059,2.6992,46.5534,0.0000,34.3795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5008,1.5369,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.189,-4.267,0.701,0.113,0.370,0.136889,0.861386,0.001725
118,1041.50,2.000,-11.068,0.3709,2.6992,46.5625,0.0000,34.3733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4936,1.5411,0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.291,-5.174,0.850,0.137,0.449,0.137259,0.861013,0.001728
119,1041.00,2.000,-11.089,0.4358,2.6991,46.5716,0.0000,34.3672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4864,1.5453,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.392,-6.080,0.998,0.161,0.528,0.137630,0.860638,0.001732
120,1040.50,2.000,-11.109,0.5007,2.6991,46.5808,0.0000,34.3610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4792,1.5495,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.492,-6.986,1.147,0.186,0.606,0.138002,0.860263,0.001735
121,1040.00,2.000,-11.130,0.5656,2.6990,46.5900,0.0000,34.3548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4719,1.5537,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.591,-7.891,1.295,0.210,0.685,0.138374,0.859887,0.001739
122,1039.50,2.000,-11.151,0.6305,2.6990,46.5992,0.0000,34.3485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4646,1.5579,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.690,-8.796,1.443,0.234,0.763,0.138748,0.859510,0.001742
123,1039.00,2.000,-11.171,0.6953,2.6989,46.6085,0.0000,34.3423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4573,1.5622,0.0298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.789,-9.701,1.591,0.258,0.842,0.139123,0.859131,0.001746
124,1038.50,2.000,-11.192,0.7601,2.6989,46.6178,0.0000,34.3360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4500,1.5664,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.887,-10.605,1.739,0.282,0.920,0.139499,0.858752,0.001749
125,1038.00,2.000,-11.213,0.8249,2.6989,46.6271,0.0000,34.3297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4426,1.5707,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.984,-11.509,1.887,0.306,0.998,0.139876,0.858371,0.001753
126,1037.50,2.000,-11.233,0.8896,2.6988,46.6364,0.0000,34.3234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4352,1.5750,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.080,-12.413,2.035,0.330,1.077,0.140254,0.857989,0.001757
127,1037.00,2.000,-11.254,0.9543,2.6988,46.6457,0.0000,34.3171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4278,1.5793,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.177,-13.317,2.183,0.354,1.155,0.140633,0.857607,0.001760
128,1036.50,2.000,-11.275,1.0190,2.6987,46.6551,0.0000,34.3108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4204,1.5836,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.272,-14.220,2.330,0.378,1.233,0.141013,0.857223,0.001764
129,1036.00,2.000,-11.295,1.0837,2.6987,46.6645,0.0000,34.3044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4130,1.5879,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.368,-15.124,2.478,0.402,1.311,0.141395,0.856838,0.001767
130,1035.50,2.000,-11.316,1.1484,2.6986,46.6740,0.0000,34.2981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4055,1.5922,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.462,-16.027,2.625,0.426,1.390,0.141777,0.856452,0.001771
131,1035.00,2.000,-11.337,1.2131,2.6986,46.6834,0.0000,34.2917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3980,1.5966,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.557,-16.930,2.773,0.450,1.468,0.142160,0.856065,0.001774
132,1034.50,2.000,-11.357,1.2777,2.6985,46.6929,0.0000,34.2853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3905,1.6009,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.651,-17.832,2.920,0.473,1.546,0.142545,0.855677,0.001778
133,1034.00,2.000,-11.378,1.3423,2.6985,46.7024,0.0000,34.2788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3830,1.6053,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.744,-18.735,3.067,0.497,1.624,0.142930,0.855288,0.001782
