Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1100.00,2.000,-9.025,9.9469461843865e+01,2.4355,49.4786,1.1822,18.2084,1.6161,0.0000,7.0025,0.1694,5.1543,0.0000,0.0000,9.3703,2.6804,0.9575,0.2218,3.9584,0.0000,0.0000,0.0000,0.0000,-1.6281862952462e+03,-1.2334662637964e+03,2.8745587259202e+02,4.0841378465460e+01,1.4870988965349e+02,3.3238154e-01,5.0134677e-02,1.1672556e-02,5.9826673e-03,1.4161310e+00,5.5993396e-02,1.9501679e-03,3.1389128e-02,9.2670008e-01,4.3224349e-01,6.5446067e-02,3.5554562e-05,6.3185794e-03,8.7682221e-02,5.9923267e-01,4.0718615e-01,4.0718615e-01,4.0718615e-01,1.5062145e-01,2.0099,5.3053815613539e-01,4.3349,-5.5468705551396e+00,-3.9565761263028e+00,1.1581359857531e+00,1.2238901749177e-01,5.3946569785588e-01,-1.6337331658013e+03,-1.2374228399227e+03, 2.8861400857778e+02, 4.0963767482952e+01, 1.4924935535135e+02, 4.6428613340153e-03,-2.9763545779745e-04, 1.1334068176096e-04, 7.2658223617082e-06, 4.6377661708736e-03,-2.9757698104115e-04, 1.1355557390884e-04, 7.2861639891222e-06
2,1099.50,2.000,-9.043,9.9440968979095e+01,2.4354,49.4928,1.1809,18.2053,1.6079,0.0000,6.9982,0.1694,5.1522,0.0000,0.0000,9.3730,2.6812,0.9578,0.2218,3.9595,0.0000,0.0000,0.0000,0.0000,-1.6277090616621e+03,-1.2333050043633e+03,2.8733038815343e+02,4.0831545528221e+01,1.4866312981093e+02,3.3246507e-01,5.0136263e-02,1.1654441e-02,5.9562325e-03,1.4176931e+00,5.6019951e-02,1.9512966e-03,3.1380815e-02,9.2730828e-01,4.3233991e-01,6.5459776e-02,3.5477807e-05,6.3138186e-03,8.7860044e-02,5.9950774e-01,4.0718520e-01,4.0718520e-01,4.0718520e-01,1.5069988e-01,2.0132,5.5903102090550e-01,4.3266,-5.8798126255349e+00,-4.2037394671400e+00,1.2210491810694e+00,1.2920780907219e-01,5.6990002517509e-01,-1.6335888742876e+03,-1.2375087438304e+03, 2.8855143733450e+02, 4.0960753337293e+01, 1.4923302983611e+02, 4.6417525495500e-03,-2.9761574737620e-04, 1.1332195263420e-04, 7.2658758232659e-06, 4.6363972885480e-03,-2.9755413816810e-04, 1.1354939492416e-04, 7.2873591807209e-06
3,1099.00,2.000,-9.060,9.9405572447336e+01,2.4353,49.5104,1.1802,18.1969,1.6005,0.0000,6.9946,0.1695,5.1484,0.0000,0.0000,9.3763,2.6821,0.9581,0.2219,3.9609,0.0000,0.0000,0.0000,0.0000,-1.6270928687203e+03,-1.2330303830569e+03,2.8718615724475e+02,4.0819278836455e+01,1.4860291222797e+02,3.3259494e-01,5.0167507e-02,1.1629227e-02,5.9331592e-03,1.4192559e+00,5.6053757e-02,1.9528165e-03,3.1360949e-02,9.2788757e-01,4.3240697e-01,6.5485414e-02,3.5403070e-05,6.3083816e-03,8.8039034e-02,5.9974839e-01,4.0713119e-01,4.0713119e-01,4.0713119e-01,1.5078391e-01,2.0166,5.9442755266430e-01,4.3047,-6.3517460284334e+00,-4.5671825891421e+00,1.3005600257197e+00,1.3808781534756e-01,6.1019852582199e-01,-1.6334446147487e+03,-1.2375975656461e+03, 2.8848671727047e+02, 4.0957366651802e+01, 1.4921311075379e+02, 4.6404833704826e-03,-2.9758402354492e-04, 1.1330033519815e-04, 7.2657020670988e-06, 4.6348199444282e-03,-2.9751848167239e-04, 1.1354487576809e-04, 7.2886756001844e-06
4,1098.50,2.000,-9.077,9.9370214355730e+01,2.4351,49.5280,1.1795,18.1884,1.5933,0.0000,6.9910,0.1696,5.1447,0.0000,0.0000,9.3797,2.6831,0.9584,0.2220,3.9624,0.0000,0.0000,0.0000,0.0000,-1.6264771727830e+03,-1.2327559617168e+03,2.8704203774011e+02,4.0807024004617e+01,1.4854275975266e+02,3.3272480e-01,5.0198504e-02,1.1604055e-02,5.9101592e-03,1.4208229e+00,5.6087427e-02,1.9543385e-03,3.1341087e-02,9.2846764e-01,4.3247415e-01,6.5511092e-02,3.5328399e-05,6.3029526e-03,8.8218424e-02,5.9998937e-01,4.0707722e-01,4.0707722e-01,4.0707722e-01,1.5086802e-01,2.0200,6.2978564427016e-01,4.2855,-6.8232147882735e+00,-4.9304011172220e+00,1.3799538300962e+00,1.4695834577616e-01,6.5045383369304e-01,-1.6333003875713e+03,-1.2376863628340e+03, 2.8842199157021e+02, 4.0953982350393e+01, 1.4919321358636e+02, 4.6392153555641e-03,-2.9755233196280e-04, 1.1327873601820e-04, 7.2655286466896e-06, 4.6332446500659e-03,-2.9748286606051e-04, 1.1354037112684e-04, 7.2899916942448e-06
5,1098.00,2.000,-9.095,9.9334894517269e+01,2.4350,49.5456,1.1788,18.1800,1.5860,0.0000,6.9873,0.1696,5.1409,0.0000,0.0000,9.3830,2.6841,0.9588,0.2221,3.9638,0.0000,0.0000,0.0000,0.0000,-1.6258619717638e+03,-1.2324817391248e+03,2.8689802912809e+02,4.0794780982899e+01,1.4848267208040e+02,3.3285464e-01,5.0229253e-02,1.1578924e-02,5.8872323e-03,1.4223943e+00,5.6120963e-02,1.9558626e-03,3.1321228e-02,9.2904848e-01,4.3254144e-01,6.5536812e-02,3.5253793e-05,6.2975316e-03,8.8398215e-02,6.0023068e-01,4.0702331e-01,4.0702331e-01,4.0702331e-01,1.5095219e-01,2.0234,6.6510548273144e-01,4.2684,-7.2942209943660e+00,-5.2933963560016e+00,1.4592310384454e+00,1.5581944606951e-01,6.9066613483367e-01,-1.6331561927581e+03,-1.2377751354808e+03, 2.8835726016653e+02, 4.0950600428969e+01, 1.4917333821523e+02, 4.6379484973080e-03,-2.9752067251741e-04, 1.1325715493117e-04, 7.2653555601336e-06, 4.6316713950314e-03,-2.9744729119098e-04, 1.1353588090038e-04, 7.2913074668956e-06
6,1097.50,2.000,-9.112,9.9299612745764e+01,2.4349,49.5632,1.1781,18.1715,1.5788,0.0000,6.9837,0.1697,5.1372,0.0000,0.0000,9.3863,2.6850,0.9591,0.2222,3.9652,0.0000,0.0000,0.0000,0.0000,-1.6252472635844e+03,-1.2322077140668e+03,2.8675413089962e+02,4.0782549721695e+01,1.4842264890782e+02,3.3298447e-01,5.0259753e-02,1.1553833e-02,5.8643785e-03,1.4239700e+00,5.6154363e-02,1.9573890e-03,3.1301372e-02,9.2963012e-01,4.3260885e-01,6.5562573e-02,3.5179254e-05,6.2921186e-03,8.8578410e-02,6.0047233e-01,4.0696946e-01,4.0696946e-01,4.0696946e-01,1.5103642e-01,2.0268,7.0038725423591e-01,4.2532,-7.7647667277217e+00,-5.6561696055043e+00,1.5383920929613e+00,1.6467116174526e-01,7.3083561445875e-01,-1.6330120303121e+03,-1.2378638836723e+03, 2.8829252299258e+02, 4.0947220883440e+01, 1.4915348452227e+02, 4.6366827882692e-03,-2.9748904509681e-04, 1.1323559177478e-04, 7.2651828055348e-06, 4.6301001689497e-03,-2.9741175692297e-04, 1.1353140498929e-04, 7.2926229221210e-06
7,1097.00,2.000,-9.129,9.9264368855804e+01,2.4347,49.5808,1.1774,18.1630,1.5716,0.0000,6.9800,0.1697,5.1335,0.0000,0.0000,9.3897,2.6860,0.9595,0.2222,3.9666,0.0000,0.0000,0.0000,0.0000,-1.6246330461744e+03,-1.2319338853323e+03,2.8661034254790e+02,4.0770330171588e+01,1.4836268993277e+02,3.3311428e-01,5.0290002e-02,1.1528783e-02,5.8415977e-03,1.4255500e+00,5.6187628e-02,1.9589177e-03,3.1281519e-02,9.3021253e-01,4.3267638e-01,6.5588376e-02,3.5104780e-05,6.2867135e-03,8.8759009e-02,6.0071432e-01,4.0691565e-01,4.0691565e-01,4.0691565e-01,1.5112073e-01,2.0303,7.3563114419611e-01,4.2396,-8.2348540617470e+00,-6.0187221616976e+00,1.6174374338937e+00,1.7351353813962e-01,7.7096245701069e-01,-1.6328679002361e+03,-1.2379526074940e+03, 2.8822777998179e+02, 4.0943843709728e+01, 1.4913365238978e+02, 4.6354182210429e-03,-2.9745744958943e-04, 1.1321404638768e-04, 7.2650103810053e-06, 4.6285309614990e-03,-2.9737626311616e-04, 1.1352694329477e-04, 7.2939380638962e-06
8,1096.50,2.000,-9.146,9.9229162662889e+01,2.4346,49.5984,1.1767,18.1545,1.5644,0.0000,6.9764,0.1698,5.1297,0.0000,0.0000,9.3930,2.6869,0.9598,0.2223,3.9680,0.0000,0.0000,0.0000,0.0000,-1.6240193174732e+03,-1.2316602517163e+03,2.8646666356869e+02,4.0758122283396e+01,1.4830279485455e+02,3.3324408e-01,5.0319999e-02,1.1503774e-02,5.8188899e-03,1.4271344e+00,5.6220757e-02,1.9604485e-03,3.1261669e-02,9.3079574e-01,4.3274402e-01,6.5614221e-02,3.5030373e-05,6.2813163e-03,8.8940014e-02,6.0095664e-01,4.0686191e-01,4.0686191e-01,4.0686191e-01,1.5120510e-01,2.0337,7.7083733711065e-01,4.2273,-8.7044850598894e+00,-6.3810553145871e+00,1.6963674992168e+00,1.8234662036816e-01,8.1104684597715e-01,-1.6327238025331e+03,-1.2380413070309e+03, 2.8816303106790e+02, 4.0940468903764e+01, 1.4911384170053e+02, 4.6341547882687e-03,-2.9742588588436e-04, 1.1319251860944e-04, 7.2648382846690e-06, 4.6269637624159e-03,-2.9734080963101e-04, 1.1352249571862e-04, 7.2952528961851e-06
9,1096.00,2.000,-9.164,9.9193993983177e+01,2.4345,49.6160,1.1760,18.1461,1.5573,0.0000,6.9727,0.1699,5.1260,0.0000,0.0000,9.3963,2.6879,0.9601,0.2224,3.9694,0.0000,0.0000,0.0000,0.0000,-1.6234060754259e+03,-1.2313868120156e+03,2.8632309345969e+02,4.0745926008081e+01,1.4824296337341e+02,3.3337387e-01,5.0349742e-02,1.1478806e-02,5.7962549e-03,1.4287231e+00,5.6253749e-02,1.9619816e-03,3.1241823e-02,9.3137975e-01,4.3281178e-01,6.5640108e-02,3.4956032e-05,6.2759270e-03,8.9121426e-02,6.0119931e-01,4.0680821e-01,4.0680821e-01,4.0680821e-01,1.5128955e-01,2.0371,8.0600601682301e-01,4.2162,-9.1736617800979e+00,-6.7431703518199e+00,1.7751827252515e+00,1.9117045339953e-01,8.5108896423686e-01,-1.6325797372060e+03,-1.2381299823674e+03, 2.8809827618494e+02, 4.0937096461480e+01, 1.4909405233765e+02, 4.6328924826239e-03,-2.9739435387085e-04, 1.1317100828055e-04, 7.2646665146533e-06, 4.6253985614860e-03,-2.9730539632824e-04, 1.1351806216329e-04, 7.2965674229439e-06
10,1095.50,2.000,-9.181,9.9158862633777e+01,2.4343,49.6336,1.1752,18.1376,1.5501,0.0000,6.9690,0.1699,5.1223,0.0000,0.0000,9.3997,2.6888,0.9605,0.2225,3.9708,0.0000,0.0000,0.0000,0.0000,-1.6227933179880e+03,-1.2311135650326e+03,2.8617963172131e+02,4.0733741296850e+01,1.4818319519111e+02,3.3350365e-01,5.0379228e-02,1.1453877e-02,5.7736927e-03,1.4303163e+00,5.6286605e-02,1.9635169e-03,3.1221979e-02,9.3196455e-01,4.3287966e-01,6.5666036e-02,3.4881757e-05,6.2705456e-03,8.9303247e-02,6.0144231e-01,4.0675458e-01,4.0675458e-01,4.0675458e-01,1.5137405e-01,2.0405,8.4113736622275e-01,4.2060,-9.6423862699212e+00,-7.1050685547489e+00,1.8538835459557e+00,1.9998508197222e-01,8.9108899367328e-01,-1.6324357042579e+03,-1.2382186335874e+03, 2.8803351526726e+02, 4.0933726378822e+01, 1.4907428418479e+02, 4.6316312968317e-03,-2.9736285343880e-04, 1.1314951524247e-04, 7.2644950690988e-06, 4.6238353485551e-03,-2.9727002306943e-04, 1.1351364253184e-04, 7.2978816481170e-06
