Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
134,1033.50,2.000,-11.396,0.0713,3.4111,38.2435,0.0000,0.0000,0.0000,0.0000,23.3415,0.2968,37.8562,0.0000,0.0000,0.2619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.034,-0.824,0.161,0.021,0.084,0.003287,0.255210,0.000000,0.000000,0.007339,0.734164
135,1033.00,2.000,-11.412,0.2010,3.4116,38.2373,0.0000,0.0000,0.0000,0.0000,23.3741,0.2974,37.8296,0.0000,0.0000,0.2616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.912,-2.321,0.452,0.059,0.238,0.003294,0.255608,0.000000,0.000000,0.007329,0.733769
136,1032.50,2.000,-11.428,0.3299,3.4122,38.2312,0.0000,0.0000,0.0000,0.0000,23.4066,0.2980,37.8031,0.0000,0.0000,0.2612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.779,-3.810,0.742,0.097,0.391,0.003301,0.256004,0.000000,0.000000,0.007319,0.733376
137,1032.00,2.000,-11.444,0.4581,3.4127,38.2250,0.0000,0.0000,0.0000,0.0000,23.4390,0.2986,37.7767,0.0000,0.0000,0.2608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.635,-5.290,1.031,0.134,0.543,0.003308,0.256399,0.000000,0.000000,0.007309,0.732983
138,1031.50,2.000,-11.460,0.5857,3.4133,38.2189,0.0000,0.0000,0.0000,0.0000,23.4712,0.2992,37.7503,0.0000,0.0000,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.479,-6.761,1.317,0.172,0.694,0.003315,0.256793,0.000000,0.000000,0.007300,0.732592
139,1031.00,2.000,-11.476,0.7125,3.4138,38.2128,0.0000,0.0000,0.0000,0.0000,23.5034,0.2997,37.7241,0.0000,0.0000,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.312,-8.223,1.602,0.209,0.844,0.003322,0.257186,0.000000,0.000000,0.007290,0.732203
140,1030.50,2.000,-11.492,0.8387,3.4144,38.2068,0.0000,0.0000,0.0000,0.0000,23.5354,0.3003,37.6979,0.0000,0.0000,0.2596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.134,-9.676,1.885,0.246,0.993,0.003329,0.257577,0.000000,0.000000,0.007280,0.731814
141,1030.00,2.000,-11.508,0.9641,3.4149,38.2007,0.0000,0.0000,0.0000,0.0000,23.5673,0.3009,37.6719,0.0000,0.0000,0.2592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.944,-11.121,2.167,0.282,1.141,0.003336,0.257967,0.000000,0.000000,0.007270,0.731427
142,1029.50,2.000,-11.524,1.0889,3.4155,38.1947,0.0000,0.0000,0.0000,0.0000,23.5991,0.3015,37.6459,0.0000,0.0000,0.2588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.744,-12.557,2.447,0.319,1.289,0.003343,0.258356,0.000000,0.000000,0.007260,0.731042
143,1029.00,2.000,-11.540,1.2131,3.4160,38.1887,0.0000,0.0000,0.0000,0.0000,23.6308,0.3020,37.6200,0.0000,0.0000,0.2584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.533,-13.984,2.725,0.355,1.435,0.003350,0.258743,0.000000,0.000000,0.007250,0.730657
