Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
285,958.00,2.000,-13.649,0.2354,3.3648,52.4001,0.1321,3.0821,0.7647,0.0000,18.3006,0.0000,23.8637,0.0000,0.0000,1.4358,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.482,-2.849,0.514,0.070,0.282,-0.584397,0.942141,0.560782,0.058899,-0.051622,0.072706,0.001491
286,957.50,2.000,-13.670,0.5134,3.3654,52.3933,0.1311,3.0775,0.7625,0.0000,18.3451,0.0000,23.8336,0.0000,0.0000,1.4358,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.590,-6.211,1.121,0.153,0.616,-0.585729,0.942128,0.562260,0.058817,-0.051588,0.072618,0.001495
287,957.00,2.000,-13.690,0.7870,3.3660,52.3864,0.1303,3.0731,0.7604,0.0000,18.3894,0.0000,23.8037,0.0000,0.0000,1.4357,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.631,-9.519,1.717,0.234,0.944,-0.587055,0.942117,0.563730,0.058735,-0.051554,0.072529,0.001498
288,956.50,2.000,-13.711,1.0564,3.3666,52.3796,0.1294,3.0686,0.7583,0.0000,18.4334,0.0000,23.7740,0.0000,0.0000,1.4356,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.606,-12.772,2.304,0.314,1.266,-0.588376,0.942107,0.565193,0.058654,-0.051520,0.072442,0.001501
289,956.00,2.000,-13.732,1.3216,3.3672,52.3729,0.1285,3.0642,0.7562,0.0000,18.4772,0.0000,23.7444,0.0000,0.0000,1.4354,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.516,-15.973,2.882,0.392,1.584,-0.589692,0.942099,0.566648,0.058574,-0.051486,0.072354,0.001504
290,955.50,2.000,-13.752,1.5827,3.3678,52.3661,0.1276,3.0598,0.7542,0.0000,18.5208,0.0000,23.7150,0.0000,0.0000,1.4353,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.361,-19.122,3.450,0.470,1.896,-0.591003,0.942091,0.568096,0.058494,-0.051452,0.072268,0.001507
291,955.00,2.000,-13.772,1.8397,3.3684,52.3594,0.1268,3.0554,0.7521,0.0000,18.5641,0.0000,23.6859,0.0000,0.0000,1.4351,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.144,-22.220,4.009,0.546,2.204,-0.592309,0.942085,0.569537,0.058414,-0.051418,0.072181,0.001510
292,954.50,2.000,-13.793,2.0928,3.3690,52.3527,0.1260,3.0511,0.7501,0.0000,18.6072,0.0000,23.6569,0.0000,0.0000,1.4348,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.865,-25.268,4.559,0.621,2.506,-0.593609,0.942080,0.570970,0.058335,-0.051384,0.072096,0.001513
293,954.00,2.000,-13.813,2.3419,3.3696,52.3461,0.1251,3.0468,0.7481,0.0000,18.6500,0.0000,23.6280,0.0000,0.0000,1.4346,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.526,-28.267,5.100,0.695,2.804,-0.594905,0.942076,0.572397,0.058256,-0.051350,0.072011,0.001515
294,953.50,2.000,-13.833,2.5872,3.3701,52.3395,0.1243,3.0425,0.7462,0.0000,18.6926,0.0000,23.5994,0.0000,0.0000,1.4343,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.127,-31.217,5.633,0.768,3.097,-0.596196,0.942074,0.573816,0.058178,-0.051316,0.071926,0.001518
295,953.00,2.000,-13.853,2.8287,3.3707,52.3329,0.1235,3.0382,0.7442,0.0000,18.7350,0.0000,23.5709,0.0000,0.0000,1.4340,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.669,-34.120,6.157,0.839,3.386,-0.597481,0.942072,0.575228,0.058100,-0.051281,0.071842,0.001521
296,952.50,2.000,-13.873,3.0665,3.3713,52.3263,0.1227,3.0340,0.7423,0.0000,18.7772,0.0000,23.5426,0.0000,0.0000,1.4337,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.154,-36.976,6.672,0.910,3.670,-0.598762,0.942072,0.576632,0.058023,-0.051247,0.071758,0.001524
297,952.00,2.000,-13.893,3.3006,3.3718,52.3197,0.1219,3.0298,0.7404,0.0000,18.8191,0.0000,23.5144,0.0000,0.0000,1.4333,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.582,-39.787,7.179,0.979,3.949,-0.600037,0.942072,0.578030,0.057946,-0.051213,0.071675,0.001527
298,951.50,2.000,-13.913,3.5311,3.3724,52.3132,0.1211,3.0256,0.7385,0.0000,18.8608,0.0000,23.4864,0.0000,0.0000,1.4329,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-51.955,-42.552,7.678,1.047,4.224,-0.601308,0.942074,0.579421,0.057869,-0.051178,0.071592,0.001529
299,951.00,2.000,-13.933,3.7581,3.3730,52.3067,0.1203,3.0214,0.7366,0.0000,18.9023,0.0000,23.4586,0.0000,0.0000,1.4325,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.274,-45.273,8.170,1.114,4.495,-0.602573,0.942077,0.580805,0.057793,-0.051144,0.071510,0.001532
300,950.50,2.000,-13.953,3.9816,3.3735,52.3003,0.1196,3.0173,0.7347,0.0000,18.9436,0.0000,23.4310,0.0000,0.0000,1.4321,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-58.538,-47.950,8.653,1.180,4.761,-0.603834,0.942081,0.582182,0.057718,-0.051109,0.071428,0.001534
301,950.00,2.000,-13.972,4.2017,3.3741,52.2938,0.1188,3.0131,0.7329,0.0000,18.9846,0.0000,23.4035,0.0000,0.0000,1.4316,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.750,-50.585,9.128,1.245,5.023,-0.605090,0.942086,0.583553,0.057643,-0.051075,0.071346,0.001537
302,949.50,2.000,-13.992,4.4185,3.3747,52.2874,0.1181,3.0090,0.7311,0.0000,19.0254,0.0000,23.3762,0.0000,0.0000,1.4311,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.910,-53.178,9.596,1.309,5.281,-0.606340,0.942092,0.584916,0.057568,-0.051040,0.071265,0.001540
