Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),   geikielite,     hematite,     ilmenite,  pyrophanite,     corundum
159,942.00,2.000,0.193,0.0854,4.6719,0.0000,21.2800,1.4147,65.1988,0.0000,2.2337,0.9060,8.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.776,-0.574,0.166,0.018,0.080,0.323134,0.593005,0.045157,0.018551,0.020153
160,941.00,2.000,0.151,0.2617,4.6712,0.0000,21.3346,1.4181,65.1062,0.0000,2.2457,0.9105,8.9850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.376,-1.758,0.509,0.056,0.245,0.323730,0.592045,0.045390,0.018639,0.020197
161,940.00,2.000,0.109,0.4379,4.6704,0.0000,21.3889,1.4215,65.0140,0.0000,2.2576,0.9148,9.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.979,-2.945,0.852,0.094,0.411,0.324323,0.591091,0.045622,0.018724,0.020241
162,939.00,2.000,0.067,0.6141,4.6697,0.0000,21.4429,1.4249,64.9223,0.0000,2.2695,0.9191,9.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.582,-4.134,1.194,0.132,0.576,0.324912,0.590141,0.045853,0.018808,0.020285
163,938.00,2.000,0.028,0.7726,4.6691,0.0000,21.4877,1.4271,64.8463,0.0000,2.2797,0.9233,9.0359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.025,-5.206,1.502,0.165,0.724,0.325384,0.589359,0.046053,0.018890,0.020314
164,937.00,2.000,0.005,0.8506,4.6694,0.0000,21.4918,1.4240,64.8402,0.0000,2.2824,0.9275,9.0341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.732,-5.732,1.653,0.182,0.797,0.325327,0.589318,0.046108,0.018977,0.020271
165,936.00,2.000,-0.017,0.9233,4.6697,0.0000,21.4937,1.4207,64.8379,0.0000,2.2847,0.9317,9.0313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.391,-6.222,1.794,0.198,0.866,0.325239,0.589317,0.046155,0.019064,0.020224
166,935.00,2.000,-0.038,0.9916,4.6700,0.0000,21.4937,1.4171,64.8388,0.0000,2.2866,0.9359,9.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.009,-6.683,1.925,0.212,0.930,0.325127,0.589351,0.046196,0.019151,0.020174
167,934.00,2.000,-0.059,1.0562,4.6704,0.0000,21.4920,1.4134,64.8425,0.0000,2.2882,0.9402,9.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.593,-7.118,2.050,0.226,0.990,0.324993,0.589414,0.046232,0.019238,0.020122
168,933.00,2.000,-0.079,1.1176,4.6708,0.0000,21.4889,1.4095,64.8485,0.0000,2.2896,0.9444,9.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.147,-7.532,2.168,0.239,1.048,0.324841,0.589502,0.046263,0.019326,0.020068
169,932.00,2.000,-0.099,1.1762,4.6712,0.0000,21.4847,1.4055,64.8566,0.0000,2.2908,0.9486,9.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.675,-7.926,2.281,0.252,1.103,0.324672,0.589611,0.046290,0.019414,0.020012
170,931.00,2.000,-0.119,1.2324,4.6717,0.0000,21.4793,1.4014,64.8665,0.0000,2.2919,0.9529,9.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.181,-8.305,2.389,0.264,1.155,0.324489,0.589740,0.046313,0.019502,0.019955
171,930.00,2.000,-0.138,1.2864,4.6722,0.0000,21.4730,1.3972,64.8780,0.0000,2.2927,0.9571,9.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.667,-8.668,2.492,0.275,1.206,0.324293,0.589886,0.046334,0.019590,0.019897
172,929.00,2.000,-0.157,1.3385,4.6726,0.0000,21.4658,1.3929,64.8910,0.0000,2.2934,0.9613,8.9955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.134,-9.018,2.592,0.286,1.255,0.324085,0.590048,0.046352,0.019678,0.019837
173,928.00,2.000,-0.176,1.3888,4.6731,0.0000,21.4578,1.3886,64.9053,0.0000,2.2940,0.9656,8.9887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.586,-9.356,2.689,0.297,1.302,0.323866,0.590223,0.046368,0.019767,0.019776
174,927.00,2.000,-0.195,1.4376,4.6737,0.0000,21.4491,1.3841,64.9208,0.0000,2.2945,0.9698,8.9817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.022,-9.684,2.782,0.308,1.347,0.323638,0.590411,0.046381,0.019855,0.019715
175,926.00,2.000,-0.213,1.4849,4.6742,0.0000,21.4398,1.3797,64.9373,0.0000,2.2949,0.9740,8.9743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.446,-10.002,2.872,0.318,1.392,0.323400,0.590611,0.046393,0.019943,0.019653
176,925.00,2.000,-0.232,1.5310,4.6747,0.0000,21.4298,1.3751,64.9549,0.0000,2.2952,0.9783,8.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.856,-10.310,2.960,0.327,1.435,0.323154,0.590821,0.046403,0.020031,0.019590
177,924.00,2.000,-0.250,1.5758,4.6753,0.0000,21.4193,1.3706,64.9733,0.0000,2.2954,0.9825,8.9589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.256,-10.611,3.045,0.337,1.477,0.322900,0.591042,0.046412,0.020119,0.019527
178,923.00,2.000,-0.268,1.6195,4.6759,0.0000,21.4082,1.3660,64.9927,0.0000,2.2956,0.9867,8.9509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.645,-10.903,3.128,0.346,1.517,0.322640,0.591271,0.046419,0.020207,0.019463
