Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
1,1100.00,2.000,-9.025,0.5305,4.3349,0.0000,7.4908,19.4243,37.3137,0.0000,25.3245,0.0000,10.4467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.547,-3.957,1.158,0.122,0.539,0.000000,-0.132622,0.451151,0.500452,0.181020
2,1099.50,2.000,-9.043,0.5477,4.3338,0.0000,7.4947,19.4920,37.2342,0.0000,25.3185,0.0000,10.4606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.731,-4.090,1.196,0.126,0.557,0.000000,-0.131955,0.450002,0.500913,0.181039
2,1099.50,2.000,-9.043,0.0113,4.0053,0.0000,3.0418,40.4959,23.7974,0.0000,17.2710,0.0000,15.3940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.148,-0.114,0.025,0.003,0.013,0.000000,0.026061,0.255058,0.653721,0.065160
3,1099.00,2.000,-9.060,0.5435,4.3352,0.0000,7.5346,19.4138,37.2375,0.0000,25.3750,0.0000,10.4391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.682,-4.054,1.186,0.125,0.553,0.000000,-0.132465,0.450257,0.500119,0.182089
3,1099.00,2.000,-9.060,0.0509,4.0041,0.0000,3.0338,40.5886,23.7130,0.0000,17.2538,0.0000,15.4109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.670,-0.513,0.114,0.013,0.058,0.000000,0.026886,0.254032,0.654125,0.064957
4,1098.50,2.000,-9.077,0.5397,4.3366,0.0000,7.5744,19.3364,37.2401,0.0000,25.4314,0.0000,10.4177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.636,-4.021,1.177,0.124,0.548,0.000000,-0.132971,0.450501,0.499331,0.183138
4,1098.50,2.000,-9.077,0.0901,4.0030,0.0000,3.0258,40.6805,23.6293,0.0000,17.2368,0.0000,15.4276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.187,-0.909,0.203,0.023,0.102,0.000000,0.027705,0.253014,0.654524,0.064757
5,1098.00,2.000,-9.095,0.5361,4.3380,0.0000,7.6142,19.2596,37.2421,0.0000,25.4875,0.0000,10.3965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.594,-3.990,1.169,0.124,0.545,0.000000,-0.133472,0.450736,0.498550,0.184187
5,1098.00,2.000,-9.095,0.1290,4.0018,0.0000,3.0180,40.7717,23.5461,0.0000,17.2200,0.0000,15.4442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.701,-1.303,0.290,0.032,0.146,0.000000,0.028518,0.252005,0.654918,0.064558
6,1097.50,2.000,-9.112,0.5329,4.3393,0.0000,7.6540,19.1836,37.2434,0.0000,25.5435,0.0000,10.3755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.555,-3.962,1.162,0.123,0.541,0.000000,-0.133969,0.450960,0.497774,0.185235
