Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),cummingtonite,    grunerite,    tremolite
705,748.00,2.000,-15.471,0.0203,3.0093,57.1444,0.0000,0.0000,0.0000,0.0000,8.7832,0.0000,20.1386,0.0000,0.0000,11.7922,0.0000,0.0000,0.0000,2.1417,0.0000,0.0000,0.0000,0.0000,-0.311,-0.270,0.040,0.007,0.024,-0.031279,0.146901,0.884378
706,747.50,2.000,-15.486,0.0918,3.0096,57.1387,0.0000,0.0000,0.0000,0.0000,8.8094,0.0000,20.1260,0.0000,0.0000,11.7844,0.0000,0.0000,0.0000,2.1415,0.0000,0.0000,0.0000,0.0000,-1.408,-1.223,0.181,0.030,0.110,-0.031239,0.147355,0.883884
707,747.00,2.000,-15.500,0.1629,3.0099,57.1329,0.0000,0.0000,0.0000,0.0000,8.8357,0.0000,20.1135,0.0000,0.0000,11.7766,0.0000,0.0000,0.0000,2.1413,0.0000,0.0000,0.0000,0.0000,-2.498,-2.170,0.322,0.054,0.195,-0.031198,0.147810,0.883388
708,746.50,2.000,-15.515,0.2337,3.0103,57.1271,0.0000,0.0000,0.0000,0.0000,8.8621,0.0000,20.1009,0.0000,0.0000,11.7688,0.0000,0.0000,0.0000,2.1411,0.0000,0.0000,0.0000,0.0000,-3.582,-3.112,0.462,0.078,0.280,-0.031156,0.148267,0.882889
709,746.00,2.000,-15.530,0.3041,3.0106,57.1213,0.0000,0.0000,0.0000,0.0000,8.8886,0.0000,20.0883,0.0000,0.0000,11.7609,0.0000,0.0000,0.0000,2.1409,0.0000,0.0000,0.0000,0.0000,-4.661,-4.049,0.601,0.101,0.365,-0.031112,0.148725,0.882387
710,745.50,2.000,-15.545,0.3741,3.0110,57.1155,0.0000,0.0000,0.0000,0.0000,8.9152,0.0000,20.0757,0.0000,0.0000,11.7529,0.0000,0.0000,0.0000,2.1406,0.0000,0.0000,0.0000,0.0000,-5.733,-4.981,0.739,0.124,0.449,-0.031066,0.149185,0.881882
711,745.00,2.000,-15.559,0.4439,3.0113,57.1097,0.0000,0.0000,0.0000,0.0000,8.9418,0.0000,20.0631,0.0000,0.0000,11.7450,0.0000,0.0000,0.0000,2.1404,0.0000,0.0000,0.0000,0.0000,-6.800,-5.908,0.876,0.147,0.532,-0.031019,0.149646,0.881373
712,744.50,2.000,-15.574,0.5132,3.0117,57.1039,0.0000,0.0000,0.0000,0.0000,8.9685,0.0000,20.0504,0.0000,0.0000,11.7370,0.0000,0.0000,0.0000,2.1402,0.0000,0.0000,0.0000,0.0000,-7.861,-6.830,1.013,0.170,0.615,-0.030970,0.150108,0.880862
713,744.00,2.000,-15.589,0.5823,3.0120,57.0980,0.0000,0.0000,0.0000,0.0000,8.9953,0.0000,20.0378,0.0000,0.0000,11.7289,0.0000,0.0000,0.0000,2.1400,0.0000,0.0000,0.0000,0.0000,-8.916,-7.747,1.149,0.193,0.698,-0.030920,0.150572,0.880348
714,743.50,2.000,-15.603,0.6510,3.0123,57.0922,0.0000,0.0000,0.0000,0.0000,9.0222,0.0000,20.0251,0.0000,0.0000,11.7208,0.0000,0.0000,0.0000,2.1398,0.0000,0.0000,0.0000,0.0000,-9.965,-8.660,1.284,0.216,0.780,-0.030868,0.151037,0.879831
715,743.00,2.000,-15.618,0.7193,3.0127,57.0863,0.0000,0.0000,0.0000,0.0000,9.0492,0.0000,20.0123,0.0000,0.0000,11.7127,0.0000,0.0000,0.0000,2.1395,0.0000,0.0000,0.0000,0.0000,-11.009,-9.568,1.418,0.239,0.862,-0.030814,0.151504,0.879310
716,742.50,2.000,-15.643,0.7997,3.0130,57.0800,0.0000,0.0000,0.0000,0.0000,9.0767,0.0000,19.9980,0.0000,0.0000,11.7060,0.0000,0.0000,0.0000,2.1393,0.0000,0.0000,0.0000,0.0000,-12.236,-10.635,1.576,0.265,0.958,-0.030888,0.151983,0.878905
717,742.00,2.000,-15.672,0.8826,3.0134,57.0736,0.0000,0.0000,0.0000,0.0000,9.1044,0.0000,19.9832,0.0000,0.0000,11.6997,0.0000,0.0000,0.0000,2.1391,0.0000,0.0000,0.0000,0.0000,-13.500,-11.735,1.739,0.293,1.057,-0.030994,0.152463,0.878531
718,741.50,2.000,-15.700,0.9644,3.0138,57.0672,0.0000,0.0000,0.0000,0.0000,9.1320,0.0000,19.9686,0.0000,0.0000,11.6934,0.0000,0.0000,0.0000,2.1388,0.0000,0.0000,0.0000,0.0000,-14.748,-12.820,1.900,0.320,1.155,-0.031098,0.152942,0.878157
719,741.00,2.000,-15.746,1.0101,3.0144,57.0531,0.0000,0.0000,0.0000,0.0000,9.1880,0.0000,19.9332,0.0000,0.0000,11.6874,0.0000,0.0000,0.0000,2.1383,0.0000,0.0000,0.0000,0.0000,-15.439,-13.422,1.989,0.335,1.209,-0.031838,0.153918,0.877920
720,740.50,2.000,-15.808,1.0203,3.0154,57.0313,0.0000,0.0000,0.0000,0.0000,9.2726,0.0000,19.8770,0.0000,0.0000,11.6817,0.0000,0.0000,0.0000,2.1375,0.0000,0.0000,0.0000,0.0000,-15.584,-13.549,2.008,0.338,1.221,-0.033225,0.155395,0.877830
721,740.00,2.000,-15.871,1.0310,3.0164,57.0094,0.0000,0.0000,0.0000,0.0000,9.3569,0.0000,19.8209,0.0000,0.0000,11.6762,0.0000,0.0000,0.0000,2.1367,0.0000,0.0000,0.0000,0.0000,-15.737,-13.682,2.028,0.342,1.234,-0.034617,0.156867,0.877750
722,739.50,2.000,-15.932,1.0422,3.0174,56.9877,0.0000,0.0000,0.0000,0.0000,9.4408,0.0000,19.7649,0.0000,0.0000,11.6707,0.0000,0.0000,0.0000,2.1358,0.0000,0.0000,0.0000,0.0000,-15.896,-13.821,2.049,0.345,1.246,-0.036012,0.158335,0.877678
723,739.00,2.000,-15.993,1.0538,3.0184,56.9660,0.0000,0.0000,0.0000,0.0000,9.5244,0.0000,19.7091,0.0000,0.0000,11.6654,0.0000,0.0000,0.0000,2.1350,0.0000,0.0000,0.0000,0.0000,-16.062,-13.966,2.071,0.349,1.260,-0.037411,0.159798,0.877613
724,738.50,2.000,-16.053,1.0658,3.0194,56.9444,0.0000,0.0000,0.0000,0.0000,9.6078,0.0000,19.6534,0.0000,0.0000,11.6603,0.0000,0.0000,0.0000,2.1342,0.0000,0.0000,0.0000,0.0000,-16.234,-14.116,2.094,0.353,1.274,-0.038814,0.161257,0.877557
725,738.00,2.000,-16.112,1.0782,3.0204,56.9228,0.0000,0.0000,0.0000,0.0000,9.6908,0.0000,19.5977,0.0000,0.0000,11.6552,0.0000,0.0000,0.0000,2.1334,0.0000,0.0000,0.0000,0.0000,-16.412,-14.270,2.118,0.357,1.288,-0.040221,0.162713,0.877508
726,737.50,2.000,-16.170,1.0910,3.0213,56.9013,0.0000,0.0000,0.0000,0.0000,9.7736,0.0000,19.5422,0.0000,0.0000,11.6502,0.0000,0.0000,0.0000,2.1326,0.0000,0.0000,0.0000,0.0000,-16.595,-14.430,2.142,0.361,1.303,-0.041630,0.164165,0.877465
727,737.00,2.000,-16.228,1.1041,3.0223,56.8798,0.0000,0.0000,0.0000,0.0000,9.8562,0.0000,19.4868,0.0000,0.0000,11.6454,0.0000,0.0000,0.0000,2.1318,0.0000,0.0000,0.0000,0.0000,-16.783,-14.594,2.167,0.365,1.318,-0.043044,0.165614,0.877430
728,736.50,2.000,-16.286,1.1176,3.0233,56.8584,0.0000,0.0000,0.0000,0.0000,9.9385,0.0000,19.4315,0.0000,0.0000,11.6406,0.0000,0.0000,0.0000,2.1310,0.0000,0.0000,0.0000,0.0000,-16.975,-14.762,2.192,0.370,1.333,-0.044460,0.167060,0.877400
729,736.00,2.000,-16.342,1.1313,3.0243,56.8371,0.0000,0.0000,0.0000,0.0000,10.0205,0.0000,19.3763,0.0000,0.0000,11.6359,0.0000,0.0000,0.0000,2.1302,0.0000,0.0000,0.0000,0.0000,-17.173,-14.934,2.218,0.374,1.349,-0.045880,0.168503,0.877377
730,735.50,2.000,-16.398,1.1454,3.0252,56.8157,0.0000,0.0000,0.0000,0.0000,10.1024,0.0000,19.3212,0.0000,0.0000,11.6313,0.0000,0.0000,0.0000,2.1294,0.0000,0.0000,0.0000,0.0000,-17.374,-15.109,2.245,0.379,1.365,-0.047302,0.169944,0.877359
731,735.00,2.000,-16.454,1.1597,3.0262,56.7944,0.0000,0.0000,0.0000,0.0000,10.1841,0.0000,19.2661,0.0000,0.0000,11.6268,0.0000,0.0000,0.0000,2.1286,0.0000,0.0000,0.0000,0.0000,-17.579,-15.288,2.272,0.383,1.382,-0.048728,0.171382,0.877346
732,734.50,2.000,-16.509,1.1743,3.0272,56.7732,0.0000,0.0000,0.0000,0.0000,10.2656,0.0000,19.2111,0.0000,0.0000,11.6223,0.0000,0.0000,0.0000,2.1278,0.0000,0.0000,0.0000,0.0000,-17.787,-15.470,2.300,0.388,1.399,-0.050157,0.172818,0.877339
733,734.00,2.000,-16.563,1.1891,3.0281,56.7520,0.0000,0.0000,0.0000,0.0000,10.3469,0.0000,19.1562,0.0000,0.0000,11.6179,0.0000,0.0000,0.0000,2.1270,0.0000,0.0000,0.0000,0.0000,-17.999,-15.655,2.328,0.393,1.416,-0.051588,0.174252,0.877336
