Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       annite,   phlogopite
719,741.00,2.000,-15.746,0.0561,2.7367,43.0420,0.0000,12.1735,0.0000,0.0000,0.8270,0.0000,28.4085,0.0000,0.0000,0.0000,0.0000,11.2473,0.0000,4.3018,0.0000,0.0000,0.0000,0.0000,-0.902,-0.781,0.120,0.021,0.071,0.016068,0.983932
720,740.50,2.000,-15.808,0.1663,2.7370,43.0367,0.0000,12.1720,0.0000,0.0000,0.8549,0.0000,28.3893,0.0000,0.0000,0.0000,0.0000,11.2459,0.0000,4.3013,0.0000,0.0000,0.0000,0.0000,-2.672,-2.311,0.356,0.061,0.209,0.016613,0.983387
721,740.00,2.000,-15.871,0.2728,2.7374,43.0312,0.0000,12.1705,0.0000,0.0000,0.8835,0.0000,28.3696,0.0000,0.0000,0.0000,0.0000,11.2444,0.0000,4.3007,0.0000,0.0000,0.0000,0.0000,-4.384,-3.792,0.584,0.100,0.343,0.017171,0.982829
722,739.50,2.000,-15.932,0.3761,2.7377,43.0257,0.0000,12.1689,0.0000,0.0000,0.9127,0.0000,28.3495,0.0000,0.0000,0.0000,0.0000,11.2430,0.0000,4.3002,0.0000,0.0000,0.0000,0.0000,-6.041,-5.226,0.805,0.137,0.473,0.017741,0.982259
723,739.00,2.000,-15.993,0.4761,2.7381,43.0200,0.0000,12.1673,0.0000,0.0000,0.9426,0.0000,28.3289,0.0000,0.0000,0.0000,0.0000,11.2415,0.0000,4.2996,0.0000,0.0000,0.0000,0.0000,-7.646,-6.615,1.018,0.174,0.599,0.018324,0.981676
724,738.50,2.000,-16.053,0.5731,2.7384,43.0142,0.0000,12.1657,0.0000,0.0000,0.9731,0.0000,28.3079,0.0000,0.0000,0.0000,0.0000,11.2400,0.0000,4.2990,0.0000,0.0000,0.0000,0.0000,-9.201,-7.961,1.225,0.209,0.721,0.018920,0.981080
725,738.00,2.000,-16.112,0.6672,2.7388,43.0083,0.0000,12.1640,0.0000,0.0000,1.0043,0.0000,28.2865,0.0000,0.0000,0.0000,0.0000,11.2385,0.0000,4.2984,0.0000,0.0000,0.0000,0.0000,-10.708,-9.267,1.426,0.244,0.839,0.019529,0.980471
726,737.50,2.000,-16.170,0.7585,2.7392,43.0023,0.0000,12.1623,0.0000,0.0000,1.0362,0.0000,28.2645,0.0000,0.0000,0.0000,0.0000,11.2369,0.0000,4.2978,0.0000,0.0000,0.0000,0.0000,-12.171,-10.533,1.621,0.277,0.954,0.020152,0.979848
727,737.00,2.000,-16.228,0.8473,2.7396,42.9961,0.0000,12.1605,0.0000,0.0000,1.0688,0.0000,28.2421,0.0000,0.0000,0.0000,0.0000,11.2353,0.0000,4.2972,0.0000,0.0000,0.0000,0.0000,-13.591,-11.763,1.810,0.309,1.066,0.020789,0.979211
728,736.50,2.000,-16.286,0.9335,2.7400,42.9898,0.0000,12.1587,0.0000,0.0000,1.1021,0.0000,28.2192,0.0000,0.0000,0.0000,0.0000,11.2336,0.0000,4.2966,0.0000,0.0000,0.0000,0.0000,-14.970,-12.957,1.993,0.341,1.174,0.021440,0.978560
