Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
756,722.50,2.000,-17.686,0.9173,3.3671,49.9018,1.0779,3.4412,1.4304,0.0000,10.9480,0.0000,10.9423,0.0000,0.0000,21.7608,0.4976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.318,-11.609,1.716,0.272,1.006,0.426734,0.080251,0.346833,0.068865,-0.007452,0.048226,0.036544
757,722.00,2.000,-17.730,0.9357,3.3682,49.8820,1.0771,3.4418,1.4321,0.0000,11.0294,0.0000,10.8900,0.0000,0.0000,21.7497,0.4980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.575,-11.833,1.750,0.278,1.026,0.423861,0.080330,0.349542,0.068842,-0.007454,0.048292,0.036587
758,721.50,2.000,-17.774,0.9539,3.3693,49.8622,1.0763,3.4425,1.4339,0.0000,11.1108,0.0000,10.8376,0.0000,0.0000,21.7385,0.4984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.829,-12.055,1.783,0.283,1.045,0.420981,0.080410,0.352255,0.068820,-0.007455,0.048359,0.036631
759,721.00,2.000,-17.818,0.9719,3.3704,49.8422,1.0755,3.4432,1.4357,0.0000,11.1923,0.0000,10.7851,0.0000,0.0000,21.7273,0.4988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.080,-12.274,1.816,0.288,1.065,0.418094,0.080491,0.354971,0.068800,-0.007455,0.048426,0.036674
760,720.50,2.000,-17.862,0.9897,3.3715,49.8221,1.0748,3.4439,1.4375,0.0000,11.2738,0.0000,10.7326,0.0000,0.0000,21.7160,0.4992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.328,-12.491,1.849,0.294,1.084,0.415200,0.080572,0.357691,0.068780,-0.007453,0.048493,0.036717
761,720.00,2.000,-17.905,1.0074,3.3726,49.8020,1.0741,3.4447,1.4394,0.0000,11.3554,0.0000,10.6801,0.0000,0.0000,21.7047,0.4995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.573,-12.705,1.881,0.299,1.103,0.412298,0.080655,0.360416,0.068762,-0.007451,0.048561,0.036759
762,719.50,2.000,-17.949,1.0249,3.3737,49.7817,1.0735,3.4455,1.4414,0.0000,11.4371,0.0000,10.6275,0.0000,0.0000,21.6934,0.4999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.816,-12.917,1.913,0.304,1.121,0.409389,0.080739,0.363144,0.068745,-0.007448,0.048629,0.036802
763,719.00,2.000,-17.991,1.0422,3.3748,49.7614,1.0729,3.4463,1.4434,0.0000,11.5187,0.0000,10.5748,0.0000,0.0000,21.6821,0.5003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.056,-13.126,1.945,0.309,1.140,0.406473,0.080823,0.365876,0.068730,-0.007443,0.048697,0.036844
764,718.50,2.000,-18.034,1.0594,3.3759,49.7410,1.0723,3.4472,1.4454,0.0000,11.6005,0.0000,10.5222,0.0000,0.0000,21.6708,0.5007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.292,-13.333,1.976,0.314,1.158,0.403549,0.080909,0.368613,0.068715,-0.007438,0.048766,0.036887
765,718.00,2.000,-18.076,1.0763,3.3770,49.7205,1.0717,3.4480,1.4475,0.0000,11.6823,0.0000,10.4694,0.0000,0.0000,21.6594,0.5011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.526,-13.537,2.007,0.319,1.176,0.400618,0.080996,0.371353,0.068701,-0.007432,0.048835,0.036929
