Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      h2oduan,      co2duan
559,821.00,2.000,-14.831,0.0047,0.4137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.105,-0.058,0.043,0.011,0.018,1.000000,0.000000
560,820.50,2.000,-14.836,0.0121,0.4140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.271,-0.150,0.110,0.029,0.047,1.000000,0.000000
561,820.00,2.000,-14.841,0.0194,0.4143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.435,-0.241,0.177,0.047,0.076,1.000000,0.000000
562,819.50,2.000,-14.846,0.0268,0.4146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.599,-0.332,0.244,0.065,0.104,1.000000,0.000000
563,819.00,2.000,-14.851,0.0341,0.4149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.762,-0.423,0.310,0.082,0.133,1.000000,0.000000
564,818.50,2.000,-14.856,0.0413,0.4152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.924,-0.513,0.376,0.100,0.161,1.000000,0.000000
565,818.00,2.000,-14.861,0.0486,0.4155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.086,-0.603,0.442,0.117,0.190,1.000000,0.000000
566,817.50,2.000,-14.866,0.0558,0.4158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.247,-0.693,0.508,0.134,0.218,1.000000,0.000000
567,817.00,2.000,-14.871,0.0629,0.4160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.407,-0.782,0.573,0.151,0.246,1.000000,0.000000
568,816.50,2.000,-14.876,0.0701,0.4163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.566,-0.871,0.638,0.168,0.274,1.000000,0.000000
569,816.00,2.000,-14.881,0.0772,0.4166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.724,-0.960,0.702,0.185,0.302,1.000000,0.000000
570,815.50,2.000,-14.886,0.0843,0.4169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.882,-1.048,0.767,0.202,0.330,1.000000,0.000000
571,815.00,2.000,-14.891,0.0913,0.4172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.039,-1.136,0.831,0.219,0.358,1.000000,0.000000
572,814.50,2.000,-14.896,0.0983,0.4175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.196,-1.223,0.894,0.236,0.385,1.000000,0.000000
573,814.00,2.000,-14.901,0.1053,0.4178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.351,-1.310,0.958,0.252,0.413,1.000000,0.000000
574,813.50,2.000,-14.905,0.1123,0.4181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.506,-1.397,1.021,0.269,0.440,1.000000,0.000000
