Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1100.00,2.000,-8.795,9.9999999999999e+01,2.2777,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6877953138819e+03,-1.2919125447131e+03,2.8830263931020e+02,4.3904585855190e+01,1.4162661864976e+02,4.7832456e-01,4.1780099e-02,6.0860344e-03,5.4934583e-03,2.8367999e+00,4.6328812e-02,1.6270993e-03,1.8627072e-02,1.5326936e+00,7.4892305e-01,3.8278642e-02,2.5357242e-05,7.3160934e-03,8.8844585e-02,5.7768908e-01,4.1639726e-01,4.1639726e-01,4.1639726e-01,1.2466744e-01,3.4507,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6877953138819e+03,-1.2919125447131e+03, 2.8830263931020e+02, 4.3904585855190e+01, 1.4162661864976e+02, 4.1709165344373e-03,-3.5938501854508e-04, 9.4999564469057e-05, 8.1855918133573e-06, 4.1709165344373e-03,-3.5938501854508e-04, 9.4999564469057e-05, 8.1855918133573e-06
2,1099.50,2.000,-8.803,9.9999999999999e+01,2.2778,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6876511754563e+03,-1.2919833575242e+03,2.8825106030819e+02,4.3902500396922e+01,1.4162462521346e+02,4.7831686e-01,4.1813571e-02,6.0805278e-03,5.4946286e-03,2.8390819e+00,4.6350624e-02,1.6275933e-03,1.8628468e-02,1.5335826e+00,7.4916198e-01,3.8276835e-02,2.5290949e-05,7.3121499e-03,8.9001127e-02,5.7781873e-01,4.1644105e-01,4.1644105e-01,4.1644105e-01,1.2474405e-01,3.4536,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6876511754563e+03,-1.2919833575242e+03, 2.8825106030819e+02, 4.3902500396922e+01, 1.4162462521346e+02, 4.1709165344373e-03,-3.5941936935569e-04, 9.5004077142032e-05, 8.1867630796921e-06, 4.1709165344373e-03,-3.5941936935569e-04, 9.5004077142032e-05, 8.1867630796921e-06
3,1099.00,2.000,-8.810,9.9999999999999e+01,2.2779,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6875070628246e+03,-1.2920541693378e+03,2.8819946324150e+02,4.3900414938655e+01,1.4162262853598e+02,4.7830915e-01,4.1847095e-02,6.0750221e-03,5.4958000e-03,2.8413673e+00,4.6372461e-02,1.6280879e-03,1.8629864e-02,1.5344727e+00,7.4940115e-01,3.8275027e-02,2.5224782e-05,7.3082057e-03,8.9158058e-02,5.7794851e-01,4.1648487e-01,4.1648487e-01,4.1648487e-01,1.2482077e-01,3.4564,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6875070628246e+03,-1.2920541693378e+03, 2.8819946324150e+02, 4.3900414938655e+01, 1.4162262853598e+02, 4.1709165344373e-03,-3.5945372016630e-04, 9.5008590243750e-05, 8.1879344573072e-06, 4.1709165344373e-03,-3.5945372016630e-04, 9.5008590243750e-05, 8.1879344573072e-06
4,1098.50,2.000,-8.817,9.9999999999999e+01,2.2780,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6873629759960e+03,-1.2921249801522e+03,2.8814784809814e+02,4.3898329480388e+01,1.4162062861464e+02,4.7830143e-01,4.1880669e-02,6.0695173e-03,5.4969725e-03,2.8436563e+00,4.6394325e-02,1.6285830e-03,1.8631262e-02,1.5353640e+00,7.4964057e-01,3.8273218e-02,2.5158740e-05,7.3042608e-03,8.9315382e-02,5.7807841e-01,4.1652873e-01,4.1652873e-01,4.1652873e-01,1.2489759e-01,3.4593,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6873629759960e+03,-1.2921249801522e+03, 2.8814784809814e+02, 4.3898329480388e+01, 1.4162062861464e+02, 4.1709165344373e-03,-3.5948807097690e-04, 9.5013103774273e-05, 8.1891059462185e-06, 4.1709165344373e-03,-3.5948807097690e-04, 9.5013103774273e-05, 8.1891059462185e-06
5,1098.00,2.000,-8.825,9.9999999999999e+01,2.2781,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6872189149795e+03,-1.2921957899659e+03,2.8809621486611e+02,4.3896244022121e+01,1.4161862544670e+02,4.7829371e-01,4.1914295e-02,6.0640136e-03,5.4981461e-03,2.8459488e+00,4.6416214e-02,1.6290786e-03,1.8632661e-02,1.5362565e+00,7.4988025e-01,3.8271408e-02,2.5092823e-05,7.3003151e-03,8.9473097e-02,5.7820843e-01,4.1657263e-01,4.1657263e-01,4.1657263e-01,1.2497451e-01,3.4622,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6872189149795e+03,-1.2921957899659e+03, 2.8809621486611e+02, 4.3896244022121e+01, 1.4161862544670e+02, 4.1709165344373e-03,-3.5952242178751e-04, 9.5017617733660e-05, 8.1902775464420e-06, 4.1709165344373e-03,-3.5952242178751e-04, 9.5017617733660e-05, 8.1902775464420e-06
6,1097.50,2.000,-8.832,9.9999999999999e+01,2.2782,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6870748797842e+03,-1.2922665987771e+03,2.8804456353341e+02,4.3894158563853e+01,1.4161661902945e+02,4.7828598e-01,4.1947973e-02,6.0585108e-03,5.4993208e-03,2.8482448e+00,4.6438131e-02,1.6295748e-03,1.8634061e-02,1.5371501e+00,7.5012017e-01,3.8269596e-02,2.5027030e-05,7.2963687e-03,8.9631207e-02,5.7833858e-01,4.1661656e-01,4.1661656e-01,4.1661656e-01,1.2505154e-01,3.4650,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6870748797842e+03,-1.2922665987771e+03, 2.8804456353341e+02, 4.3894158563853e+01, 1.4161661902945e+02, 4.1709165344373e-03,-3.5955677259812e-04, 9.5022132121973e-05, 8.1914492579933e-06, 4.1709165344373e-03,-3.5955677259812e-04, 9.5022132121973e-05, 8.1914492579933e-06
7,1097.00,2.000,-8.839,9.9999999999999e+01,2.2783,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6869308704190e+03,-1.2923374065844e+03,2.8799289408800e+02,4.3892073105586e+01,1.4161460936017e+02,4.7827825e-01,4.1981702e-02,6.0530091e-03,5.5004966e-03,2.8505443e+00,4.6460073e-02,1.6300714e-03,1.8635462e-02,1.5380449e+00,7.5036035e-01,3.8267783e-02,2.4961362e-05,7.2924215e-03,8.9789712e-02,5.7846885e-01,4.1666053e-01,4.1666053e-01,4.1666053e-01,1.2512867e-01,3.4679,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6869308704190e+03,-1.2923374065844e+03, 2.8799289408800e+02, 4.3892073105586e+01, 1.4161460936017e+02, 4.1709165344373e-03,-3.5959112340873e-04, 9.5026646939273e-05, 8.1926210808885e-06, 4.1709165344373e-03,-3.5959112340873e-04, 9.5026646939273e-05, 8.1926210808885e-06
8,1096.50,2.000,-8.846,9.9999999999999e+01,2.2784,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6867868868931e+03,-1.2924082133859e+03,2.8794120651785e+02,4.3889987647319e+01,1.4161259643614e+02,4.7827051e-01,4.2015483e-02,6.0475083e-03,5.5016735e-03,2.8528474e+00,4.6482042e-02,1.6305685e-03,1.8636864e-02,1.5389409e+00,7.5060078e-01,3.8265969e-02,2.4895819e-05,7.2884735e-03,8.9948613e-02,5.7859925e-01,4.1670454e-01,4.1670454e-01,4.1670454e-01,1.2520590e-01,3.4708,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6867868868931e+03,-1.2924082133859e+03, 2.8794120651785e+02, 4.3889987647319e+01, 1.4161259643614e+02, 4.1709165344373e-03,-3.5962547421933e-04, 9.5031162185622e-05, 8.1937930151434e-06, 4.1709165344373e-03,-3.5962547421933e-04, 9.5031162185622e-05, 8.1937930151434e-06
9,1096.00,2.000,-8.854,9.9999999999999e+01,2.2785,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6866429292155e+03,-1.2924790191802e+03,2.8788950081093e+02,4.3887902189052e+01,1.4161058025463e+02,4.7826277e-01,4.2049316e-02,6.0420085e-03,5.5028515e-03,2.8551540e+00,4.6504037e-02,1.6310662e-03,1.8638267e-02,1.5398381e+00,7.5084147e-01,3.8264154e-02,2.4830400e-05,7.2845249e-03,9.0107912e-02,5.7872977e-01,4.1674858e-01,4.1674858e-01,4.1674858e-01,1.2528324e-01,3.4737,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6866429292155e+03,-1.2924790191802e+03, 2.8788950081093e+02, 4.3887902189052e+01, 1.4161058025463e+02, 4.1709165344373e-03,-3.5965982502994e-04, 9.5035677861080e-05, 8.1949650607739e-06, 4.1709165344373e-03,-3.5965982502994e-04, 9.5035677861080e-05, 8.1949650607739e-06
10,1095.50,2.000,-8.861,9.9999999999999e+01,2.2786,63.9158,0.6182,15.1641,0.8158,0.0000,3.0516,0.0837,2.0400,0.0000,0.0000,4.2767,3.4661,2.5267,0.1676,3.8737,0.0000,0.0000,0.0000,0.0000,-1.6864989973953e+03,-1.2925498239656e+03,2.8783777695516e+02,4.3885816730785e+01,1.4160856081290e+02,4.7825502e-01,4.2083201e-02,6.0365096e-03,5.5040307e-03,2.8574642e+00,4.6526059e-02,1.6315644e-03,1.8639672e-02,1.5407364e+00,7.5108240e-01,3.8262337e-02,2.4765106e-05,7.2805755e-03,9.0267610e-02,5.7886042e-01,4.1679266e-01,4.1679266e-01,4.1679266e-01,1.2536069e-01,3.4765,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6864989973953e+03,-1.2925498239656e+03, 2.8783777695516e+02, 4.3885816730785e+01, 1.4160856081290e+02, 4.1709165344373e-03,-3.5969417584055e-04, 9.5040193965709e-05, 8.1961372177958e-06, 4.1709165344373e-03,-3.5969417584055e-04, 9.5040193965709e-05, 8.1961372177958e-06
