Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
215,993.00,2.000,-10.701,0.0276,3.3315,53.0796,0.1462,2.7059,1.1031,0.0000,16.0185,0.0000,25.8886,0.0000,0.0000,1.0346,0.0235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.417,-0.339,0.061,0.008,0.034,-0.521394,0.958167,0.485572,0.045912,-0.037940,0.068028,0.001655
216,992.50,2.000,-10.716,0.0557,3.3318,53.0741,0.1460,2.7068,1.1006,0.0000,16.0421,0.0000,25.8694,0.0000,0.0000,1.0374,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.841,-0.684,0.124,0.017,0.068,-0.522037,0.958049,0.486343,0.045963,-0.038003,0.068028,0.001658
217,992.00,2.000,-10.731,0.0837,3.3322,53.0685,0.1457,2.7078,1.0982,0.0000,16.0657,0.0000,25.8502,0.0000,0.0000,1.0403,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.263,-1.028,0.186,0.025,0.102,-0.522679,0.957931,0.487113,0.046013,-0.038066,0.068028,0.001660
218,991.50,2.000,-10.746,0.1116,3.3325,53.0630,0.1455,2.7087,1.0958,0.0000,16.0893,0.0000,25.8309,0.0000,0.0000,1.0431,0.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.685,-1.371,0.248,0.033,0.136,-0.523321,0.957813,0.487882,0.046064,-0.038129,0.068028,0.001663
219,991.00,2.000,-10.761,0.1395,3.3329,53.0574,0.1453,2.7097,1.0934,0.0000,16.1129,0.0000,25.8117,0.0000,0.0000,1.0460,0.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.105,-1.713,0.310,0.042,0.169,-0.523963,0.957695,0.488651,0.046115,-0.038192,0.068029,0.001666
220,990.50,2.000,-10.777,0.1673,3.3332,53.0519,0.1450,2.7107,1.0910,0.0000,16.1364,0.0000,25.7925,0.0000,0.0000,1.0488,0.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.524,-2.054,0.372,0.050,0.203,-0.524605,0.957576,0.489420,0.046166,-0.038255,0.068030,0.001668
221,990.00,2.000,-10.792,0.1951,3.3336,53.0463,0.1448,2.7116,1.0886,0.0000,16.1600,0.0000,25.7732,0.0000,0.0000,1.0517,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.943,-2.395,0.434,0.059,0.237,-0.525246,0.957457,0.490188,0.046217,-0.038319,0.068031,0.001671
222,989.50,2.000,-10.807,0.2228,3.3340,53.0407,0.1445,2.7126,1.0862,0.0000,16.1835,0.0000,25.7540,0.0000,0.0000,1.0546,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.360,-2.734,0.495,0.067,0.270,-0.525887,0.957338,0.490956,0.046268,-0.038382,0.068033,0.001674
223,989.00,2.000,-10.822,0.2504,3.3343,53.0351,0.1443,2.7136,1.0838,0.0000,16.2070,0.0000,25.7348,0.0000,0.0000,1.0575,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.776,-3.073,0.557,0.075,0.304,-0.526527,0.957219,0.491723,0.046319,-0.038445,0.068034,0.001677
224,988.50,2.000,-10.837,0.2780,3.3347,53.0295,0.1441,2.7146,1.0815,0.0000,16.2305,0.0000,25.7156,0.0000,0.0000,1.0603,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.191,-3.412,0.618,0.083,0.337,-0.527167,0.957100,0.492490,0.046370,-0.038509,0.068036,0.001679
225,988.00,2.000,-10.853,0.3056,3.3350,53.0240,0.1438,2.7157,1.0791,0.0000,16.2539,0.0000,25.6964,0.0000,0.0000,1.0632,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.605,-3.749,0.679,0.092,0.371,-0.527807,0.956981,0.493257,0.046421,-0.038572,0.068038,0.001682
226,987.50,2.000,-10.868,0.3331,3.3354,53.0184,0.1436,2.7167,1.0767,0.0000,16.2774,0.0000,25.6772,0.0000,0.0000,1.0661,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.018,-4.085,0.740,0.100,0.404,-0.528446,0.956861,0.494023,0.046473,-0.038636,0.068041,0.001685
227,987.00,2.000,-10.883,0.3605,3.3357,53.0128,0.1433,2.7177,1.0744,0.0000,16.3008,0.0000,25.6580,0.0000,0.0000,1.0690,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.430,-4.421,0.800,0.108,0.437,-0.529086,0.956742,0.494788,0.046524,-0.038699,0.068044,0.001688
228,986.50,2.000,-10.898,0.3879,3.3361,53.0072,0.1431,2.7187,1.0720,0.0000,16.3242,0.0000,25.6389,0.0000,0.0000,1.0719,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.841,-4.756,0.861,0.116,0.470,-0.529724,0.956622,0.495553,0.046575,-0.038763,0.068046,0.001690
229,986.00,2.000,-10.913,0.4152,3.3364,53.0015,0.1429,2.7198,1.0697,0.0000,16.3476,0.0000,25.6197,0.0000,0.0000,1.0748,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.250,-5.090,0.921,0.124,0.503,-0.530362,0.956502,0.496317,0.046627,-0.038827,0.068050,0.001693
230,985.50,2.000,-10.928,0.4424,3.3368,52.9959,0.1426,2.7208,1.0674,0.0000,16.3709,0.0000,25.6005,0.0000,0.0000,1.0777,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.659,-5.424,0.981,0.133,0.536,-0.531000,0.956382,0.497081,0.046679,-0.038890,0.068053,0.001696
231,985.00,2.000,-10.943,0.4696,3.3371,52.9903,0.1424,2.7219,1.0651,0.0000,16.3943,0.0000,25.5814,0.0000,0.0000,1.0806,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.067,-5.756,1.042,0.141,0.569,-0.531638,0.956261,0.497845,0.046730,-0.038954,0.068057,0.001699
