Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),   geikielite,     hematite,     ilmenite,  pyrophanite,     corundum
364,918.50,2.000,-13.013,0.0013,4.5245,0.0000,46.1781,4.6014,11.9730,0.0000,31.3741,0.4155,5.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.013,-0.010,0.002,0.000,0.001,0.193991,0.107405,0.625565,0.008390,0.064649
365,918.00,2.000,-13.024,0.0070,4.5249,0.0000,46.1810,4.5941,11.9683,0.0000,31.3907,0.4162,5.4497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.073,-0.056,0.014,0.002,0.007,0.193715,0.107373,0.625954,0.008406,0.064553
366,917.50,2.000,-13.036,0.0127,4.5252,0.0000,46.1840,4.5869,11.9635,0.0000,31.4073,0.4169,5.4414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.132,-0.102,0.025,0.003,0.012,0.193441,0.107340,0.626341,0.008421,0.064456
367,917.00,2.000,-13.047,0.0183,4.5256,0.0000,46.1869,4.5796,11.9589,0.0000,31.4237,0.4177,5.4332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.191,-0.148,0.036,0.004,0.018,0.193167,0.107308,0.626727,0.008437,0.064360
368,916.50,2.000,-13.058,0.0240,4.5260,0.0000,46.1898,4.5724,11.9542,0.0000,31.4401,0.4184,5.4251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.249,-0.194,0.047,0.005,0.023,0.192894,0.107276,0.627112,0.008453,0.064264
369,916.00,2.000,-13.069,0.0296,4.5263,0.0000,46.1926,4.5651,11.9497,0.0000,31.4565,0.4192,5.4169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.307,-0.239,0.058,0.007,0.029,0.192622,0.107245,0.627495,0.008469,0.064169
370,915.50,2.000,-13.080,0.0352,4.5267,0.0000,46.1955,4.5579,11.9451,0.0000,31.4728,0.4199,5.4088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.365,-0.284,0.068,0.008,0.034,0.192351,0.107214,0.627877,0.008484,0.064073
371,915.00,2.000,-13.091,0.0407,4.5270,0.0000,46.1983,4.5507,11.9406,0.0000,31.4890,0.4207,5.4007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.423,-0.329,0.079,0.009,0.039,0.192081,0.107184,0.628258,0.008500,0.063977
372,914.50,2.000,-13.102,0.0462,4.5274,0.0000,46.2012,4.5434,11.9362,0.0000,31.5051,0.4214,5.3927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.480,-0.373,0.090,0.010,0.045,0.191812,0.107153,0.628637,0.008516,0.063881
373,914.00,2.000,-13.113,0.0517,4.5278,0.0000,46.2040,4.5362,11.9318,0.0000,31.5212,0.4221,5.3847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.537,-0.418,0.100,0.011,0.050,0.191544,0.107124,0.629015,0.008532,0.063786
374,913.50,2.000,-13.124,0.0571,4.5281,0.0000,46.2068,4.5290,11.9274,0.0000,31.5372,0.4229,5.3767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.593,-0.462,0.111,0.013,0.055,0.191277,0.107094,0.629391,0.008548,0.063690
375,913.00,2.000,-13.135,0.0626,4.5285,0.0000,46.2095,4.5218,11.9231,0.0000,31.5532,0.4236,5.3687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.649,-0.505,0.122,0.014,0.061,0.191010,0.107065,0.629766,0.008564,0.063595
376,912.50,2.000,-13.146,0.0680,4.5288,0.0000,46.2123,4.5146,11.9189,0.0000,31.5691,0.4244,5.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.705,-0.549,0.132,0.015,0.066,0.190745,0.107037,0.630140,0.008580,0.063499
377,912.00,2.000,-13.156,0.0733,4.5292,0.0000,46.2150,4.5074,11.9147,0.0000,31.5849,0.4251,5.3528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.761,-0.592,0.142,0.016,0.071,0.190480,0.107008,0.630512,0.008596,0.063404
378,911.50,2.000,-13.167,0.0787,4.5295,0.0000,46.2178,4.5003,11.9105,0.0000,31.6006,0.4259,5.3449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.816,-0.635,0.153,0.017,0.076,0.190216,0.106981,0.630883,0.008612,0.063308
379,911.00,2.000,-13.178,0.0840,4.5299,0.0000,46.2205,4.4931,11.9064,0.0000,31.6163,0.4266,5.3371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.871,-0.678,0.163,0.019,0.081,0.189953,0.106953,0.631253,0.008628,0.063213
380,910.50,2.000,-13.189,0.0893,4.5302,0.0000,46.2232,4.4859,11.9023,0.0000,31.6320,0.4274,5.3292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.925,-0.720,0.173,0.020,0.086,0.189691,0.106926,0.631621,0.008644,0.063118
