Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
195,1003.00,2.000,-10.339,0.0004,4.7021,0.0000,8.6670,5.6626,48.0813,0.0000,32.9635,0.0000,4.6257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.003,-0.002,0.001,0.000,0.000,0.000000,-0.127353,0.647362,0.246762,0.233229
196,1002.50,2.000,-10.357,0.0090,4.7021,0.0000,8.6916,5.6629,48.0328,0.0000,32.9883,0.0000,4.6244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.073,-0.049,0.018,0.002,0.008,0.000000,-0.127278,0.646700,0.246691,0.233887
197,1002.00,2.000,-10.375,0.0176,4.7021,0.0000,8.7162,5.6631,47.9843,0.0000,33.0132,0.0000,4.6232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.142,-0.096,0.035,0.004,0.016,0.000000,-0.127204,0.646037,0.246620,0.234547
198,1001.50,2.000,-10.393,0.0261,4.7021,0.0000,8.7409,5.6634,47.9357,0.0000,33.0381,0.0000,4.6219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.211,-0.143,0.053,0.006,0.024,0.000000,-0.127130,0.645373,0.246550,0.235207
199,1001.00,2.000,-10.411,0.0346,4.7020,0.0000,8.7656,5.6636,47.8870,0.0000,33.0631,0.0000,4.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.280,-0.190,0.070,0.007,0.032,0.000000,-0.127057,0.644708,0.246479,0.235869
200,1000.50,2.000,-10.430,0.0432,4.7020,0.0000,8.7904,5.6638,47.8383,0.0000,33.0881,0.0000,4.6194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.348,-0.237,0.087,0.009,0.040,0.000000,-0.126983,0.644042,0.246409,0.236532
201,1000.00,2.000,-10.448,0.0516,4.7020,0.0000,8.8152,5.6641,47.7895,0.0000,33.1131,0.0000,4.6182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.417,-0.284,0.104,0.011,0.048,0.000000,-0.126910,0.643375,0.246339,0.237196
202,999.50,2.000,-10.466,0.0601,4.7020,0.0000,8.8400,5.6643,47.7406,0.0000,33.1382,0.0000,4.6169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.485,-0.331,0.121,0.013,0.056,0.000000,-0.126837,0.642707,0.246269,0.237861
203,999.00,2.000,-10.484,0.0685,4.7020,0.0000,8.8649,5.6645,47.6916,0.0000,33.1633,0.0000,4.6157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.553,-0.377,0.138,0.015,0.064,0.000000,-0.126765,0.642038,0.246199,0.238527
204,998.50,2.000,-10.502,0.0770,4.7020,0.0000,8.8899,5.6647,47.6426,0.0000,33.1884,0.0000,4.6145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.621,-0.424,0.155,0.016,0.071,0.000000,-0.126693,0.641369,0.246130,0.239195
